[449] systemd-udevd D /run/udev/queue
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000407.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000371.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000514.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000644.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000892.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000702.ps
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000491.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000357.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000288.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000415.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000029.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000879.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000159.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000755.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000612.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000878.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000373.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000718.gz
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000421.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000215.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000242.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000787.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000200.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000465.unk
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000391.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000959.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000035.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000036.xls
