[449] systemd-udevd D /run/udev/queue
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000369.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000526.gif
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000962.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000479.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000156.doc.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000156.doc.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000478.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000138.html.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000138.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000862.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000729.ppt.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000729.ppt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000813.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000369.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000800.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000479.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000478.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000246.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000862.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000693.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000813.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000800.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000246.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000437.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000986.ppt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000693.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000089.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000089.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000074.html
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000098.txt.nnvjxgy
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000255.doc.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000437.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000174.ppt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000074.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000535.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000535.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000781.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000286.doc.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000286.doc.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000180.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000436.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000781.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000164.pdf
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000180.html.nnvjxgy
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000231.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000173.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000711.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000239.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000003.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000436.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000594.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000746.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000746.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000164.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000173.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000416.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000711.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000131.doc.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000730.ps
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000239.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000003.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000594.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000416.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000812.html
